id:ID(Talent-ID),name,profile_path,:LABEL
16837,Mark Steven Johnson,/6trChNn3o2bi4i2ipgMEAytwmZp.jpg,Talent
1551320,Jack Keller,,Talent
2178,Forest Whitaker,/4pMQkelS5lK661m9Kz3oIxLYiyS.jpg,Talent
5144,Ronald Bass,,Talent
5144,Ronald Bass,,Talent
21968,Ezra Swerdlow,,Talent
70592,Deborah Schindler,/2vFzdHxcB8cEtvPlNSs2VGZ7WG3.jpg,Talent
111118,Terry McMillan,,Talent
111118,Terry McMillan,,Talent
111118,Terry McMillan,,Talent
1079697,Kenneth Edmonds,/2EqVBaDGRA0sHkEKagu2NxfP1Nm.jpg,Talent
1087695,Caron K,,Talent
37,Alan Silvestri,/chEsfnDEtRmv1bfOaNAoVEzhCc6.jpg,Talent
5506,Elliot Davis,,Talent
17698,Nancy Meyers,/nMPHU06dnvVxEjjcnPCPUQgQ2Mp.jpg,Talent
17698,Nancy Meyers,/nMPHU06dnvVxEjjcnPCPUQgQ2Mp.jpg,Talent
26160,Albert Hackett,,Talent
56106,Charles Shyer,/hnWGd74CbmTcDCFQiJ8SYLazIXW.jpg,Talent
68755,Adam Bernardi,,Talent
638,Michael Mann,/nKmUpRpuQIsYubR7vIxVKhkbaTW.jpg,Talent
638,Michael Mann,/nKmUpRpuQIsYubR7vIxVKhkbaTW.jpg,Talent
1254,Art Linson,/dEtVivCXxQBtIzmJcUNupT1AB4H.jpg,Talent
638,Michael Mann,/nKmUpRpuQIsYubR7vIxVKhkbaTW.jpg,Talent
5581,Elliot Goldenthal,/mr1rr5bQySCwp564E1Ag363SgLH.jpg,Talent
11099,Dante Spinotti,/vIb3GU52BvSIQh1MXZRFDVRnqsm.jpg,Talent
15840,Pasquale Buba,,Talent
15841,William Goldenberg,/eOgoea8HbZt2TfLn0tDNI1TepSN.jpg,Talent
15842,Dov Hoenig,,Talent
1047,Tom Rolf,,Talent
897,Bonnie Timmermann,/jM8QANtq0v7Eqy8ZYtKot27nsfK.jpg,Talent
11411,Neil Spisak,,Talent
15843,Margie Stone McShirley,,Talent
8527,Deborah Lynn Scott,,Talent
1305,Bill Abbott,,Talent
14765,Per Hallberg,,Talent
15847,Terry D. Frazee,,Talent
15848,Paul H. Haines Jr.,,Talent
15849,Neil Krepela,,Talent
13458,Joel Kramer,,Talent
15850,Tony Brubaker,,Talent
13677,Anne H. Ahrens,,Talent
1535950,Darryl M. Athons,,Talent
1478953,Cate Hardman,,Talent
1424046,Jane Brody,,Talent
1550830,Donald Frazee,,Talent
1479277,Oscar Mazzola,,Talent
4727,Dianne Wager,,Talent
1404308,Anthony Lattanzio,,Talent
1535949,David Le Vey,,Talent
8870,Leonard Engelman,,Talent
16551,Ilona Herman,,Talent
15846,Vera Mitchell,,Talent
15845,John Caglione Jr.,,Talent
14653,Ken Diaz,/evDWsHoxnKp5saXTjVOMFXJnX3O.jpg,Talent
1535951,Neal J. Anderson,,Talent
1391385,Duncan Burns,,Talent
1406826,Hector C. Gika,,Talent
1392084,Larry Kemp,,Talent
1392901,Lauren Stephens,,Talent
1409831,Gary Jay,,Talent
21118,James Muro,,Talent
1412205,Frank Connor,,Talent
1403479,Duane Manwiller,,Talent
1347763,Chris Moseley,,Talent
1415635,Frank Dorowsky,,Talent
1406905,Michael Connell,,Talent
75002,Budd Carr,,Talent
60592,Matthew Booth,,Talent
1433743,Vicki Hiatt,,Talent
1405208,Thomas R. Bryant,,Talent
1432026,Ray Boniker,,Talent
1401687,Anna Behlmer,,Talent
16177,Ron Bartlett,,Talent
1368864,Chris Jenkins,,Talent
1338976,Andy Nelson,,Talent
1544638,Mark Smith,,Talent
1576553,Daniel O'Haco,,Talent
1457709,Mick Gould,/6BcVGV4fUITs2jaThbOq4GHlAFU.jpg,Talent
1576562,Tim Werner,,Talent
639,Pieter Jan Brugge,/wSaIhLLvLSxxgOPugUx7M8ZBpD8.jpg,Talent
944682,Gusmano Cesaretti,,Talent
376,Arnon Milchan,/5crR5twLRcIdvRR06dB1O0EQ8x0.jpg,Talent
1494667,Christopher Cronyn,,Talent
212137,Michael Waxman,,Talent
1535952,Alison E. McBryde,,Talent
1392142,Marsha Bozeman,,Talent
548451,Jeff Wells,,Talent
142157,Doug Coleman,,Talent
1629423,Philip Rogers,,Talent
15178,Jimmy Webb,/hWNr6XzL5TiAkr93eVFSbILhVYr.jpg,Talent
2226,Sydney Pollack,/zxkoU2diKtvarV1Qk4z9He2lJj9.jpg,Talent
70846,Barbara Benedek,,Talent
2226,Sydney Pollack,/zxkoU2diKtvarV1Qk4z9He2lJj9.jpg,Talent
491,John Williams,/2Ats98PB1SH2yfEPikiLdhRuXZm.jpg,Talent
10640,Fredric Steinkamp,,Talent
2997,Scott Rudin,/zR8sdlGblto6dneAr2mckTowwEl.jpg,Talent
5490,David Rubin,/x22xlcu30x5s8jelEIkJVBeLHrn.jpg,Talent
1718,Brian Morris,,Talent
11056,David Rayfiel,,Talent
10199,Peter Robb-King,,Talent
142152,Bernadette Mazur,,Talent
32489,Joseph A. Campayno,,Talent
83118,Lynda Gurasich,,Talent
1565199,Stephen G. Bishop,/5S7vryn2PQWaYGm40GDvhO8PPUm.jpg,Talent
543194,Gary Jones,,Talent
5493,Ann Roth,,Talent
18173,George DeTitta Jr.,,Talent
1467272,Amy Marshall,,Talent
1535947,Miriam Schapiro,,Talent
91092,Danny Michael,,Talent
1387195,Adam Jenkins,,Talent
1368864,Chris Jenkins,,Talent
1345595,Scott Millan,,Talent
1404218,Myron Nettinga,,Talent
1565200,Mitch Gettleman,,Talent
1565201,Joe Earle,,Talent
1392125,J. Paul Huntsman,,Talent
91096,Andrew Schmetterling,,Talent
95836,Adam Sawelson,,Talent
1555703,Barbara Issak,,Talent
1399061,Benjamin Beardwood,,Talent
1464541,Mary A. Kelly,,Talent
1391583,Myles Aronowitz,,Talent
1194262,Brian Hamill,/ipkdNt295kdCw1I32XGZX5rVQC3.jpg,Talent
20844,Giovanni Fiore Coltellacci,,Talent
15131,Giuseppe Rotunno,,Talent
53346,Kate Dowd,,Talent
957570,Juliet Polcsa,,Talent
18513,Michelle Matland,,Talent
1177713,Donna Maloney,,Talent
1565207,Karl F. Steinkamp,,Talent
11058,Lindsay Doran,,Talent
4184,Ronald L. Schwary,,Talent
17220,John Kasarda,,Talent
1582414,Jean-Pierre Avice,,Talent
1748870,Thomas A. Imperato,,Talent
4184,Ronald L. Schwary,,Talent
1853722,Bill Kaufman,,Talent
1720,Ronna Kress,/8LIqLvnE7EIWHC50j0gmSO275nR.jpg,Talent
9028,Sandrine Ageorges,,Talent
1123059,Joseph E. Iberti,,Talent
1853729,Joanny Carpentier,,Talent
1002581,Katherine Kennedy,,Talent
2075,David Loughery,,Talent
7775,Stephen Sommers,/50bI0PixdzrD5Mdygl4wrpxHCiH.jpg,Talent
18357,Peter Hewitt,/wP8EyttEB2xca7udNERQb07eAda.jpg,Talent
72225,Mark Twain,/7EBjfNQEjJvoJAlar3uUm2pueog.jpg,Talent
37710,Peter Hyams,/dAuDsStGGlUESaaAYQf0GCE2JWo.jpg,Talent
53300,Karen Elise Baldwin,,Talent
56953,Gene Quintano,,Talent
56032,Moshe Diamant,,Talent
56954,Anders P. Jensen,,Talent
53299,Howard Baldwin,,Talent
4500,John Debney,/hTrlvZlDXQk49nfc2BM9sjKfJv.jpg,Talent
37710,Peter Hyams,/dAuDsStGGlUESaaAYQf0GCE2JWo.jpg,Talent
11410,Steven Kemper,,Talent
10702,Martin Campbell,/qhx0AySf8yH3kiHrinWknUJbr1y.jpg,Talent
9856,Ian Fleming,/3Pld5n7f5AAVjP0HdsAkgSvrlJg.jpg,Talent
10704,Jeffrey Caine,,Talent
10705,Bruce Feirstein,,Talent
10666,Barbara Broccoli,/pHTiuUR93mTJhsThZv0Es4xMerS.jpg,Talent
10493,Tom Pevsner,,Talent
996,Eric Serra,/iY45MsVHxI4DLTqk9zKEl3XHRmd.jpg,Talent
1459,Tina Turner,/yhA10YPoQwGWtvd4TUm4X6tkv1x.jpg,Talent
10709,Phil Meheux,/7dvzEurZ3sI5L2RYxvHjS4RLNl3.jpg,Talent
5056,Terry Rawlings,,Talent
10496,Debbie McWilliams,,Talent
8524,Peter Lamont,/auOeNxa9viwhGN3XIO33q4v6Jcq.jpg,Talent
10710,Andrew Ackland-Snow,,Talent
10711,Kathrin Brunner,,Talent
10712,Charles Dwight Lee,,Talent
8526,Michael Ford,,Talent
10714,Lindy Hemming,/8DiTuVH0dysJ6j1psjXE0XQ4BKR.jpg,Talent
69678,Michael G. Wilson,/j9E7oKJMgprlrwkUkk2JXdY5tnJ.jpg,Talent
10706,Anthony Waye,/jvM7joua7tQ6scIpTM1sdbUzI67.jpg,Talent
10703,Michael France,,Talent
1593072,Michael Boone,,Talent
10788,Steven Lawrence,,Talent
1727828,Tony Graysmark,,Talent
1325211,Neil Lamont,,Talent
18457,Pam Dixon,,Talent
5062,Robert Hathaway,,Talent
1532215,Charles Bodycomb,,Talent
1398136,June Randall,,Talent
40747,Harvey Harrison,,Talent
1408816,Roger Pearce,,Talent
1485317,Herbert Raditschnig,,Talent
1189807,Tim Wooster,,Talent
1425502,Keith Hamshere,,Talent
1427545,George Whitear,,Talent
1727833,Bill Pochetty,,Talent
1727834,Luigi Bisioli,,Talent
1727835,Steve Foster,,Talent
1081073,Chris Corbould,,Talent
1392704,Mara Bryan,,Talent
1413507,Tim Grover,,Talent
38362,Peter Musgrave,,Talent
1340118,Michael A. Carter,,Talent
1561880,Graham V. Hartstone,,Talent
40818,John Hayward,,Talent
9854,Jim Shields,,Talent
1576017,David John,,Talent
2702,John Seale,/w4wp04pRMqJI2vt3gFTdIWLDDzp.jpg,Talent
3026,Rob Reiner,/2zw9Iq9uo4vZiTQNQWdNFwbA1TA.jpg,Talent
3026,Rob Reiner,/2zw9Iq9uo4vZiTQNQWdNFwbA1TA.jpg,Talent
3032,Robert Leighton,,Talent
9251,Marc Shaiman,/aesoPh8jPR5qDKjjt7o5uj9kS3W.jpg,Talent
13520,Aaron Sorkin,/oFff5AbvrhmPW2WsyXV5cL7KURN.jpg,Talent
4057,Adam Weiss,,Talent
14639,Mel Brooks,/ndFo3LOYNCUghQTK833N1Wtuynr.jpg,Talent
14639,Mel Brooks,/ndFo3LOYNCUghQTK833N1Wtuynr.jpg,Talent
14639,Mel Brooks,/ndFo3LOYNCUghQTK833N1Wtuynr.jpg,Talent
53839,Hummie Mann,,Talent
53840,Michael D. O'Shea,,Talent
59979,Peter Schindler,,Talent
67674,Rudy De Luca,/93Tmn57Jv3qCebO0H8tM8nEICGn.jpg,Talent
71303,Steve Haberman,,Talent
488,Steven Spielberg,/pOK15UNaw75Bzj7BQO1ulehbPPm.jpg,Talent
489,Kathleen Kennedy,/6rGtk7OdbkO2QDM2OQxt9Blww3O.jpg,Talent
12061,Roger S.H. Schulman,,Talent
21879,Simon Wells,/sfartDj5d9bclP91YuunnaL7Fer.jpg,Talent
106850,Elana Lesser,,Talent
570268,Cliff Ruby,,Talent
991160,David Steven Cohen,,Talent
1205985,Stephan Franck,,Talent
1447385,Jean-Francois Rey,,Talent
1447593,Mick De Falco,,Talent
1448089,José Antonio García Villameriel,,Talent
1451229,Luc Desmarchelier,,Talent
1457635,Leonard F.W. Green,,Talent
1462665,Harald Kraut,,Talent
1152,Oliver Stone,/uHdNGBkrI74eYfUP2Uie7nuo0Nn.jpg,Talent
1152,Oliver Stone,/uHdNGBkrI74eYfUP2Uie7nuo0Nn.jpg,Talent
5379,Dan Halsted,,Talent
491,John Williams,/2Ats98PB1SH2yfEPikiLdhRuXZm.jpg,Talent
17786,Stephen J. Rivele,,Talent
149,Robert Richardson,/9tLrDHL9qL9yYIhcJVaINwnzmWN.jpg,Talent
3189,Brian Berdan,,Talent
1152,Oliver Stone,/uHdNGBkrI74eYfUP2Uie7nuo0Nn.jpg,Talent
2044,Peter Levy,,Talent
8383,Maggie Gray,,Talent
391,Norman Garwood,,Talent
3986,Mario Kassar,,Talent
7228,Joel B. Michaels,,Talent
6044,Mindy Marin,/qzqo2SyYdwb3CKeLuUMXBJneWEe.jpg,Talent
10685,Laurence Mark,/fkqSdA5JyxMZwhb2qLzAHI2AUMO.jpg,Talent
14590,Enrico Sabbatini,,Talent
16938,Renny Harlin,/lOCRZzC1UZfkObWpQtKxga5ZV8F.jpg,Talent
16938,Renny Harlin,/lOCRZzC1UZfkObWpQtKxga5ZV8F.jpg,Talent
22706,James Gorman,,Talent
22706,James Gorman,,Talent
21203,Michael Frost Beckner,,Talent
20061,Marc Norman,,Talent
1224549,Robert King,/fCeDPxdYWQDkbFKvDFQr8Csyi8T.jpg,Talent
1368867,Allen Hall,,Talent
1032,Martin Scorsese,/4Xwx5XL1RJj0JQmEo8Fhr6nkpOg.jpg,Talent
7170,Barbara De Fina,,Talent
149,Robert Richardson,/9tLrDHL9qL9yYIhcJVaINwnzmWN.jpg,Talent
3661,Thelma Schoonmaker,/mGhfN5gVg9U3iitLcCM3l4Bix4o.jpg,Talent
2242,Ellen Lewis,,Talent
2366,Dante Ferretti,/nKAB8edn2JxVpnyfQAvfQnDJkVd.jpg,Talent
1032,Martin Scorsese,/4Xwx5XL1RJj0JQmEo8Fhr6nkpOg.jpg,Talent
7163,Nicholas Pileggi,/foeXjiH70O5xiGHfli7UhfXxcy4.jpg,Talent
7163,Nicholas Pileggi,/foeXjiH70O5xiGHfli7UhfXxcy4.jpg,Talent
7531,Joseph P. Reidy,/3bZ4HUh4JFPKo1yw2XDYjMmwj6m.jpg,Talent
1614,Ang Lee,/uTX0uIBLl3JIQunuAMDRHLorffh.jpg,Talent
32982,Jane Austen,,Talent
7056,Emma Thompson,/cWTBHN8kLf6yapxiaQD9C6N1uMw.jpg,Talent
11058,Lindsay Doran,,Talent
